id_pago,correo,fecha_pago,monto,metodo_pago,referencia_pago,estatus_pago
1,alan45@correo.com,02-07-2026,1100,PayPal,PAY-1001,Pagado
2,felipe26@correo.com,2026-08-03,1200,tarjeta,PAY-1002,Pagado
3,valeria46@correo.com,04-07-2026,900,Tarjeta,PAY-1003,Pagado
4,gael36@correo.com,2026-07-05,500,,PAY-1004,PAGADO
5,diana30@correo.com,06-07-2026,800,spei,PAY-1005,Pagado
6,andrea18@correo.com,2026-07-07,500,PayPal,PAY-1006,pagado
7,felipe47@correo.com,2026/07/08,650,PayPal,PAY-1007,PAGADO
8,patricio54@correo.com,2026/07/09,800,SPEI,PAY-1008,pendiente
9,felipe47@correo.com,10-07-2026,700,PayPal,PAY-1009,Pagado
10,renata44@correo.com,2026-07-11,MXN 1200,tarjeta,PAY-1010,pagado
11,alonso51@correo.com,12-07-2026,650,Efectivo,PAY-1011,Pagado
12,isabel69@correo.com,2026-07-13,$1200,paypal,PAY-1012,cancelado
13, PAOLA34@CORREO.COM ,2026-08-14,950,tarjeta,PAY-1013,pagado
14,regina61@correo.com,2026-07-15,1500,paypal,PAY-1014,pagado
15,mariana9@correo.com,2026-08-16,900,Efectivo,PAY-1015,pagado
16, noexiste_pago16@correo.com ,2026-07-17,900,,PAY-1016,pagado
17,tomas13@correo.com,2026/07/18,1500,SPEI,PAY-1017,Pagado
18,diana48@correo.com,2026-08-19,-250,Efectivo,PAY-1018,pagado
19,laura63@correo.com,2026-08-20,900,Tarjeta,PAY-1019,Pagado
20,luna28@correo.com,2026-08-01,MXN 1200,spei,PAY-1020,PAGADO
21,tomas13@correo.com,22-07-2026,1500,paypal,PAY-1021,Pagado
22,gael36@correo.com,2026/07/23,650,,PAY-1022,PAGADO
23,luna28@correo.com,2026-07-24,500,paypal,PAY-1023,pagado
24,ivan27@correo.com,2026-07-25,$1500,spei,PAY-1024,pendiente
25,luna28@correo.com,2026/07/26,950,SPEI,PAY-1025,pagado
26, GAEL36@CORREO.COM ,2026/07/27,700,PayPal,PAY-1026,pagado
27,carlos4@correo.com,2026/07/28,500,paypal,PAY-1027,PAGADO
28,alan42@correo.com,2026-07-01,700,PayPal,PAY-1028,pagado
29,samuel17@correo.com,2026-08-10,1500,tarjeta,PAY-1029,pagado
30,regina61@correo.com,2026-08-11,MXN 950,tarjeta,PAY-1030,PAGADO
31,gael29@correo.com,2026-07-04,1500,PayPal,PAY-1031,PAGADO
32, noexiste_pago32@correo.com ,2026-07-05,1200,Efectivo,PAY-1032,rechazado
33,diego14@correo.com,2026-08-14,1200,tarjeta,PAY-1005,Pagado
34,gael19@correo.com,2026-07-07,700,PayPal,PAY-1034,PAGADO
35,ana@correo.com,08-07-2026,1100,PayPal,PAY-1035,PAGADO
36,angel56@correo.com,2026-07-09,-250,spei,PAY-1036,rechazado
37,mariana58@correo.com,2026/07/10,1100,paypal,PAY-1037,Pagado
38,patricio54@correo.com,2026-07-11,950,Efectivo,PAY-1038,PAGADO
39, BIANCA33@CORREO.COM ,12-07-2026,700,,PAY-1039,pagado
40,natalia11@correo.com,2026-07-13,MXN 1100,tarjeta,PAY-1040,cancelado
41,diana48@correo.com,2026/07/14,1500,Tarjeta,PAY-1041,PAGADO
42,ana@correo.com,15-07-2026,650,Efectivo,PAY-1042,PAGADO
43,bianca55@correo.com,2026-07-16,900,PayPal,PAY-1043,pagado
